id_pesca,fecha,lisa_kg,corv_kg,bagre_kg,carpa_kg
PESCA-20260519-1538,Mon May 18 2026 00:00:00 GMT-0300 (Argentina Standard Time),1,1,0,0
PESCA-20260519-1624,Mon May 18 2026 00:00:00 GMT-0300 (Argentina Standard Time),3,1,0,0
PESCA-20260519-1624,Mon May 18 2026 00:00:00 GMT-0300 (Argentina Standard Time),3,0,0,0
PESCA-20260519-1644,Mon May 18 2026 00:00:00 GMT-0300 (Argentina Standard Time),4,0,0,0
PESCA-20260520-1424,Tue May 19 2026 00:00:00 GMT-0300 (Argentina Standard Time),1,0,0,2
PESCA-20260520-1424,Tue May 19 2026 00:00:00 GMT-0300 (Argentina Standard Time),3,4,0,0
