id_ensilado,fecha,timestamp
ENS-20260519-1538,2026-05-18,19/5/2026 15:39:18
ENS-20260519-1624,2026-05-18,19/5/2026 16:30:34
ENS-20260519-1644,2026-05-18,19/5/2026 16:46:00
ENS-20260520-1424,2026-05-19,20/5/2026 14:29:26
ENS-20260520-1424,2026-05-19,20/5/2026 14:32:04
ENS-20260520-1500,2026-05-19,20/5/2026 15:01:37
